match_no,date,season,competition,stage,home_or_away,home_team,away_team,win_or_loss,goals,assists,mins_played,abs_rating,shots,shots_on_target,key_passes,motm,final_remarks,Name,Team
m_1028,2023-06-15,22/23,International Friendly,,N,Argentina,Australia,win,1,0,90,7.5,5.0,2.0,2.0,Yes,"1 outside box goal, 1 left foot goal",Messi,Argentina
m_1027,2023-06-03,22/23,Ligue 1,,H,Paris Saint-Germain,Clermont Foot,loss,0,0,90,7.38,6.0,3.0,4.0,No,,Messi,Paris Saint-Germain
m_1026,2023-05-27,22/23,Ligue 1,,A,Strasbourg,Paris Saint-Germain,draw,1,0,90,8.38,3.0,1.0,3.0,Yes,,Messi,Paris Saint-Germain
m_1025,2023-05-21,22/23,Ligue 1,,A,Auxerre,Paris Saint-Germain,win,0,1,90,7.71,4.0,1.0,5.0,No,,Messi,Paris Saint-Germain
m_1024,2023-05-13,22/23,Ligue 1,,H,Paris Saint-Germain,Ajaccio,win,0,0,90,7.98,3.0,1.0,2.0,No,,Messi,Paris Saint-Germain
m_1023,2023-04-30,22/23,Ligue 1,,H,Paris Saint-Germain,Lorient,loss,0,0,90,6.76,1.0,0.0,2.0,No,,Messi,Paris Saint-Germain
m_1022,2023-04-21,22/23,Ligue 1,,A,Angers,Paris Saint-Germain,win,0,1,90,7.84,2.0,1.0,2.0,No,,Messi,Paris Saint-Germain
m_1021,2023-04-15,22/23,Ligue 1,,H,Paris Saint-Germain,Lens,win,1,0,90,8.01,5.0,1.0,3.0,No,"1 inside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_1020,2023-04-08,22/23,Ligue 1,,A,Nice,Paris Saint-Germain,win,1,1,90,8.56,3.0,2.0,3.0,No,"1 inside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_1019,2023-04-02,22/23,Ligue 1,,H,Paris Saint-Germain,Lyon,loss,0,0,90,7.94,3.0,1.0,5.0,Yes,,Messi,Paris Saint-Germain
m_1018,2023-03-28,22/23,International Friendly,,H,Argentina,Curacao,win,3,1,90,10.0,10.0,7.0,3.0,Yes,"3 inside box goal, 2 left foot goal, 1 right foot goal",Messi,Argentina
m_1017,2023-03-23,22/23,International Friendly,,H,Argentina,Panama,win,1,0,90,9.2,14.0,5.0,2.0,Yes,"1 free kick goal, 1 left foot goal",Messi,Argentina
m_1016,2023-03-19,22/23,Ligue 1,,H,Paris Saint-Germain,Rennes,loss,0,0,90,7.37,4.0,2.0,5.0,No,,Messi,Paris Saint-Germain
m_1015,2023-03-11,22/23,Ligue 1,,A,Brest,Paris Saint-Germain,win,0,1,90,8.3,4.0,1.0,6.0,Yes,,Messi,Paris Saint-Germain
m_1014,2023-03-08,22/23,Champs League,R16,A,Bayern Munich,Paris Saint-Germain,loss,0,0,90,6.93,3.0,1.0,3.0,No,,Messi,Paris Saint-Germain
m_1013,2023-03-04,22/23,Ligue 1,,H,Paris Saint-Germain,Nantes,win,1,0,90,9.61,7.0,4.0,2.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_1012,2023-02-26,22/23,Ligue 1,,A,Marseille,Paris Saint-Germain,win,1,2,90,9.54,2.0,1.0,3.0,Yes,"1 inside box goal, 1 right foot goal",Messi,Paris Saint-Germain
m_1011,2023-02-19,22/23,Ligue 1,,H,Paris Saint-Germain,Lille,win,1,0,90,8.47,2.0,2.0,3.0,No,"1 free kick goal, 1 left foot goal",Messi,Paris Saint-Germain
m_1010,2023-02-14,22/23,Champs League,R16,H,Paris Saint-Germain,Bayern Munich,loss,0,0,90,6.9,2.0,0.0,1.0,No,,Messi,Paris Saint-Germain
m_1009,2023-02-08,22/23,Coupe de France,R16,A,Marseille,Paris Saint-Germain,loss,0,0,90,6.8,4.0,0.0,2.0,No,,Messi,Paris Saint-Germain
m_1008,2023-02-04,22/23,Ligue 1,,H,Paris Saint-Germain,Toulouse,win,1,0,90,9.59,6.0,1.0,7.0,Yes,"1 outside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_1007,2023-02-01,22/23,Ligue 1,,A,Montpellier,Paris Saint-Germain,win,1,0,90,8.8,9.0,3.0,2.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_1006,2023-01-29,22/23,Ligue 1,,H,Paris Saint-Germain,Reims,draw,0,0,90,6.02,4.0,0.0,0.0,No,,Messi,Paris Saint-Germain
m_1005,2023-01-15,22/23,Ligue 1,,A,Rennes,Paris Saint-Germain,loss,0,0,90,6.57,3.0,0.0,1.0,No,,Messi,Paris Saint-Germain
m_1004,2023-01-11,22/23,Ligue 1,,H,Paris Saint-Germain,Angers,win,1,0,90,7.61,2.0,1.0,1.0,No,"1 inside box goal, 1 right foot goal",Messi,Paris Saint-Germain
m_1003,2022-12-18,22/23,World Cup,Final,N,Argentina,France,win,2,0,120,8.89,5.0,4.0,3.0,No,"1 pen goal, 1 inside box goal, 1 left foot goal, 1 right foot goal",Messi,Argentina
m_1002,2022-12-13,22/23,World Cup,SF,N,Argentina,Croatia,win,1,1,90,8.38,2.0,2.0,2.0,No,"1 pen goal, 1 left foot goal",Messi,Argentina
m_1001,2022-12-09,22/23,World Cup,QF,N,Argentina,Netherlands,win,1,1,120,8.69,6.0,2.0,3.0,No,"1 pen goal, 1 left foot goal",Messi,Argentina
m_1000,2022-12-03,22/23,World Cup,R16,N,Argentina,Australia,win,1,0,90,8.15,6.0,2.0,4.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Argentina
m_999,2022-11-30,22/23,World Cup,Group,N,Argentina,Poland,win,0,0,90,8.18,7.0,4.0,5.0,No,1 pen missed,Messi,Argentina
m_998,2022-11-26,22/23,World Cup,Group,N,Argentina,Mexico,win,1,1,90,8.04,2.0,1.0,1.0,Yes,"1 outside box goal, 1 left foot goal",Messi,Argentina
m_997,2022-11-22,22/23,World Cup,Group,N,Argentina,Saudi Arabia,loss,1,0,90,7.39,4.0,3.0,3.0,No,"1 pen goal, 1 left foot goal",Messi,Argentina
m_996,2022-11-16,22/23,International Friendly,,A,United Arab Emirates,Argentina,win,1,1,90,8.2,7.0,2.0,2.0,No,"1 inside box goal, 1 right foot goal",Messi,Argentina
m_995,2022-11-13,22/23,Ligue 1,,H,Paris Saint-Germain,Auxerre,win,0,0,74,7.62,2.0,0.0,0.0,No,,Messi,Paris Saint-Germain
m_994,2022-11-02,22/23,Champs League,Group,A,Juventus,Paris Saint-Germain,win,0,1,90,6.93,2.0,1.0,3.0,No,,Messi,Paris Saint-Germain
m_993,2022-10-29,22/23,Ligue 1,,H,Paris Saint-Germain,Troyes,win,1,1,90,8.11,3.0,2.0,2.0,No,"1 outside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_992,2022-10-25,22/23,Champs League,Group,H,Paris Saint-Germain,Maccabi Haifa,win,2,2,90,10.0,5.0,2.0,4.0,Yes,"1 inside box goal, 1 outside box goal, 2 left foot goal",Messi,Paris Saint-Germain
m_991,2022-10-21,22/23,Ligue 1,,A,Ajaccio,Paris Saint-Germain,win,1,2,90,9.33,2.0,2.0,4.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_990,2022-10-16,22/23,Ligue 1,,H,Paris Saint-Germain,Marseille,win,0,0,78,7.69,6.0,3.0,3.0,No,,Messi,Paris Saint-Germain
m_989,2022-10-05,22/23,Champs League,Group,A,Benfica,Paris Saint-Germain,draw,1,0,80,8.38,2.0,1.0,3.0,Yes,"1 outside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_988,2022-10-01,22/23,Ligue 1,,H,Paris Saint-Germain,Nice,win,1,0,86,8.17,4.0,2.0,1.0,Yes,"1 free kick goal, 1 left foot goal",Messi,Paris Saint-Germain
m_987,2022-09-27,22/23,International Friendly,,N,Argentina,Jamaica,win,2,0,33,9.4,5.0,4.0,2.0,Yes,"1 free kick goal, 1 outside box goal, 2 left foot goal",Messi,Argentina
m_986,2022-09-23,22/23,International Friendly,,N,Argentina,Honduras,win,2,0,90,9.11,4.0,3.0,1.0,Yes,"1 pen goal, 1 outside box goal, 2 left foot goal",Messi,Argentina
m_985,2022-09-18,22/23,Ligue 1,,A,Lyon,Paris Saint-Germain,win,1,0,90,9.21,7.0,5.0,2.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_984,2022-09-14,22/23,Champs League,Group,A,Maccabi Haifa,Paris Saint-Germain,win,1,1,90,8.72,7.0,3.0,2.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Paris Saint-Germain
m_983,2022-09-10,22/23,Ligue 1,,H,Paris Saint-Germain,Brest,win,0,1,90,8.76,4.0,2.0,4.0,Yes,,Messi,Paris Saint-Germain
m_982,2022-09-06,22/23,Champs League,Group,H,Paris Saint-Germain,Juventus,win,0,0,83,7.18,2.0,1.0,3.0,No,,Messi,Paris Saint-Germain
m_981,2022-09-03,22/23,Ligue 1,,A,Nantes,Paris Saint-Germain,win,0,2,90,9.88,6.0,1.0,4.0,Yes,,Messi,Paris Saint-Germain
m_980,2022-08-31,22/23,Ligue 1,,A,Toulouse,Paris Saint-Germain,win,0,2,83,9.19,7.0,5.0,4.0,Yes,,Messi,Paris Saint-Germain
m_979,2022-08-28,22/23,Ligue 1,,H,Paris Saint-Germain,Monaco,draw,0,0,86,7.27,2.0,0.0,1.0,No,,Messi,Paris Saint-Germain
m_978,2022-08-21,22/23,Ligue 1,,A,Lille,Paris Saint-Germain,win,1,1,90,9.41,2.0,2.0,4.0,No,"1 inside box goal, 1 right foot goal",Messi,Paris Saint-Germain
m_977,2022-08-13,22/23,Ligue 1,,H,Paris Saint-Germain,Montpellier,win,0,0,90,8.02,5.0,3.0,1.0,No,,Messi,Paris Saint-Germain
m_976,2022-08-06,22/23,Ligue 1,,A,Clermont Foot,Paris Saint-Germain,win,2,1,90,10.0,6.0,4.0,4.0,Yes,"2 inside box goal, 2 left foot goal",Messi,Paris Saint-Germain
m_975,2022-07-31,22/23,Trophée des Champions,Final,N,Paris Saint-Germain,Nantes,win,1,0,90,7.8,4.0,3.0,2.0,No,"1 inside box goal, 1 right foot goal",Messi,Paris Saint-Germain
m_974,2022-06-05,21/22,International Friendly,,N,Argentina,Estonia,win,5,0,90,9.83,10.0,5.0,3.0,Yes,"1 pen goal, 4 inside box goal, 4 left foot goal, 1 right foot goal",Messi,Argentina
m_973,2022-06-01,21/22,Finalissima,Final,N,Argentina,Italy,win,0,2,90,9.09,8.0,4.0,4.0,Yes,,Messi,Argentina
m_972,2022-05-21,21/22,Ligue 1,,H,Paris Saint-Germain,Metz,win,0,1,90,8.66,3.0,0.0,4.0,No,,Messi,Paris Saint-Germain
m_971,2022-05-14,21/22,Ligue 1,,A,Montpellier,Paris Saint-Germain,win,2,0,90,10.0,6.0,4.0,4.0,Yes,"2 inside box goal, 2 left foot goal",Messi,Paris Saint-Germain
m_970,2022-05-08,21/22,Ligue 1,,H,Paris Saint-Germain,Troyes,draw,0,0,90,6.8,6.0,1.0,1.0,No,,Messi,Paris Saint-Germain
m_969,2022-04-29,21/22,Ligue 1,,A,Strasbourg,Paris Saint-Germain,draw,0,0,90,6.81,3.0,2.0,0.0,No,,Messi,Paris Saint-Germain
